subject,x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary,y
subject_1,0,1,0.0,max,C,True,3
subject_1,0,2,0.0,high,C,True,3
subject_1,1,5,1.0,low,A,False,1
subject_1,1,3,0.25,high,B,False,1
subject_1,0,5,0.75,max,B,False,1
subject_1,0,5,1.0,mid,C,False,2
subject_1,0,4,0.75,mid,C,False,2
subject_1,1,5,0.5,low,B,False,1
subject_1,0,1,0.5,low,B,False,3
subject_1,1,5,1.0,max,C,True,1
subject_1,1,2,0.5,max,B,False,1
subject_1,0,4,0.0,high,B,True,1
subject_1,1,1,1.0,low,C,False,4
subject_1,1,4,0.75,high,B,False,1
subject_1,1,3,0.5,high,B,True,1
subject_1,0,1,1.0,low,B,True,3
subject_1,1,5,0.5,high,C,False,1
subject_1,0,3,0.5,high,B,True,2
subject_1,1,1,0.75,max,B,False,2
subject_1,0,3,0.0,low,B,True,2
subject_1,1,2,1.0,mid,A,True,1
subject_1,0,3,0.0,max,C,True,2
subject_1,1,2,0.5,mid,A,False,1
subject_1,0,1,0.0,low,A,False,2
subject_1,0,5,0.0,max,A,True,1
subject_2,0,1,0.5,mid,C,False,3
subject_2,0,3,0.5,high,B,True,3
subject_2,1,3,1.0,max,A,True,2
subject_2,1,5,1.0,max,C,True,3
subject_2,0,5,0.0,max,A,True,5
subject_2,1,5,1.0,low,A,False,5
subject_2,1,5,0.0,low,C,False,5
subject_2,0,5,0.0,low,A,False,5
subject_2,1,3,0.75,mid,C,True,3
subject_2,0,5,1.0,low,A,True,5
subject_2,0,2,0.5,max,C,False,2
subject_2,0,1,0.5,max,C,False,2
subject_2,0,1,0.0,max,C,True,1
subject_2,1,4,0.75,low,C,True,4
subject_2,1,3,0.5,high,B,True,2
subject_2,0,3,0.0,low,C,True,4
subject_2,0,4,0.0,mid,B,True,5
subject_2,0,2,0.5,max,B,False,2
subject_2,0,1,0.0,max,A,True,2
subject_2,0,1,0.0,low,A,False,3
subject_2,1,3,0.25,mid,A,False,4
subject_2,1,3,0.0,mid,B,False,4
subject_2,0,1,0.75,high,A,False,3
subject_2,1,1,1.0,low,C,False,3
subject_2,1,2,0.75,max,C,False,2
subject_3,1,5,0.25,max,A,True,3
subject_3,1,2,1.0,mid,B,True,1
subject_3,0,5,0.0,high,B,True,2
subject_3,0,1,0.75,mid,B,False,2
subject_3,0,1,0.5,high,A,False,2
subject_3,0,1,0.25,max,C,True,1
subject_3,1,5,0.25,high,B,False,2
subject_3,1,1,0.25,mid,C,False,1
subject_3,0,3,0.5,high,B,True,1
subject_3,0,1,1.0,mid,A,False,2
subject_3,0,3,0.75,high,A,True,2
subject_3,1,3,0.5,high,B,True,1
subject_3,1,3,0.75,high,B,False,2
subject_3,0,1,0.0,max,C,True,1
subject_3,0,5,0.25,high,B,False,3
subject_3,1,5,1.0,low,A,False,3
subject_3,1,1,1.0,high,C,False,1
subject_3,1,5,1.0,max,C,True,1
subject_3,1,4,0.75,low,B,False,2
subject_3,0,5,0.0,max,A,True,3
subject_3,0,4,0.75,low,A,True,3
subject_3,0,1,0.5,high,A,True,1
subject_3,0,1,0.0,low,A,False,3
subject_3,1,1,1.0,low,C,False,1
subject_3,1,3,0.0,max,C,True,1
subject_4,1,1,1.0,low,C,False,4
subject_4,1,5,1.0,max,C,True,5
subject_4,0,1,1.0,max,B,False,3
subject_4,1,2,0.25,low,A,True,4
subject_4,0,5,0.0,max,A,True,4
subject_4,0,4,0.25,high,A,True,4
subject_4,1,2,0.5,low,C,True,4
subject_4,1,4,0.5,high,A,False,5
subject_4,0,5,0.5,high,B,False,4
subject_4,1,5,0.0,low,A,False,5
subject_4,1,4,0.0,high,B,False,5
subject_4,0,4,0.5,low,C,False,4
subject_4,0,1,0.0,max,C,True,2
subject_4,1,3,0.5,high,B,True,5
subject_4,0,1,0.0,low,A,False,3
subject_4,1,5,0.75,low,B,False,5
subject_4,0,3,0.5,high,B,True,4
subject_4,1,4,1.0,max,A,True,5
subject_4,1,5,0.75,max,A,False,5
subject_4,1,2,0.75,mid,B,True,4
subject_4,0,2,0.0,max,A,False,3
subject_4,0,4,0.25,mid,B,False,4
subject_4,1,4,0.5,max,A,True,5
subject_4,0,4,0.75,max,A,True,3
subject_4,1,5,1.0,low,A,False,5
subject_5,1,5,1.0,low,A,False,3
subject_5,1,4,0.75,max,C,False,4
subject_5,0,2,0.0,max,C,True,5
subject_5,1,3,0.25,high,A,False,3
subject_5,0,1,0.0,low,A,False,3
subject_5,0,5,0.0,max,A,True,5
subject_5,1,1,1.0,low,C,False,2
subject_5,0,2,0.75,max,B,False,5
subject_5,1,5,0.5,max,C,False,4
subject_5,1,2,0.25,high,A,False,3
subject_5,0,4,1.0,mid,C,False,4
subject_5,0,3,0.5,high,B,True,5
subject_5,1,5,0.0,mid,C,True,4
subject_5,1,5,1.0,max,C,True,5
subject_5,1,3,0.75,high,B,True,5
subject_5,1,2,0.75,low,B,False,2
subject_5,0,5,0.0,mid,B,True,4
subject_5,1,4,0.5,max,C,False,4
subject_5,0,3,0.5,low,C,True,4
subject_5,0,2,0.25,high,C,True,5
subject_5,0,1,0.75,high,B,False,4
subject_5,0,1,0.5,low,B,True,4
subject_5,0,3,0.25,max,C,True,5
subject_5,0,1,0.0,max,C,True,5
subject_5,1,3,0.5,high,B,True,4
